,cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
164,165,169.5709876804328,-166.7696642739083,-32.808811943086795,185.0,149.0,0.0007656381796254888,0.0008532180700636156,94.34212345625856,105.13373894236317
165,166,169.56208104875762,-166.75613143660405,-32.80637256290976,138.0,138.0,0.0006306436531459445,0.0007938987799331353,77.70806493885028,97.82440152718252
166,167,169.55690674628025,-166.74826792249442,-32.80478611455572,186.0,186.0,0.0004471797359628842,0.0005436737246613917,55.101596263111766,66.99160911361297
167,168,169.57297847635655,-166.77268862935603,-32.80479087773314,174.0,174.0,0.0010741627803363618,0.0010789340871845653,132.3586000951269,132.94652169007801
168,169,169.5394894820659,-166.72178973208466,-32.80188498094917,160.0,160.0,0.0005174446418884137,0.0007602508711717258,63.75965512939145,93.67829799304765
169,170,169.5780571055643,-166.7804031268178,-32.79593256191779,162.0,162.0,0.0009987668185134717,0.0011398305424315132,123.06829126821106,140.4501977760411
170,171,169.563610516404,-166.75845557803055,-32.810565564236484,173.0,173.0,0.0010845261964461778,0.0011196040830479584,133.63558275884293,137.95788851165761
171,172,169.55795703650418,-166.7498641705601,-32.80899509318525,180.0,180.0,0.0007549255110972616,0.0009657726275132426,93.02210582426123,119.00273899624155
172,173,169.56336748534113,-166.75808628095567,-32.80950861912284,153.0,153.0,0.0009679825005429201,0.0010625558043909035,119.275040090592,130.9283856847955
173,174,169.57288984471873,-166.77255398666944,-32.80586137766842,168.0,168.0,0.0010741627803363618,0.0010789340871845653,132.3586000951269,132.94652169007801
174,175,169.57617663858386,-166.77754680914526,-32.802699609292915,192.0,192.0,0.000683256852749687,0.0009042531891164478,84.19107624175189,111.42229877442678
175,176,169.57051698965125,-166.76894918929668,-32.811934755415514,193.0,193.0,0.001077713078727995,0.0014480084310358765,132.7960687298988,178.42395246448095
176,177,169.56563457512092,-166.76153112794324,-32.81111740246953,156.0,156.0,0.0006243336241744259,0.0006243348784641153,76.93054162812045,76.93069618200227
177,178,169.5701653277098,-166.76841492969336,-32.810580520689534,164.0,176.0,0.001118313188336067,0.0014558107764344142,137.79882415003203,179.38535936975998
178,179,169.560856459054,-166.75427050520818,-32.80968650329993,206.0,206.0,0.0011942446197082067,0.0011962589177023917,147.15511366556387,147.40331595628302
179,180,169.55848335001699,-166.75066405189787,-32.80953630166037,172.0,172.0,0.0007549255110972616,0.0009657726275132426,93.02210582426123,119.00273899624155
180,181,169.56114696319463,-166.75471197198138,-32.80772607060792,146.0,146.0,0.0007456384262041825,0.000802351721964334,91.87774895590313,98.8659751084086
181,182,169.5797004454418,-166.7828991336869,-32.79769958198285,162.0,162.0,0.0014652441103245898,0.0019784715578577534,180.54773707525317,243.78774848638508
182,183,169.56940278515717,-166.76725642409824,-32.81239433599012,199.0,199.0,0.00022232712597369664,0.00022828536178060374,27.395202753009848,28.129378024091142
183,184,169.57192010343516,-166.77108080397522,-32.80982893834542,185.0,185.0,0.0009400472437959602,0.0009605105877774706,115.83285093266218,118.35434917505111
184,185,169.57174766166506,-166.77081883463973,-32.80890484275702,165.0,184.0,0.0007656381796254888,0.0009605105877774706,94.34212345625856,118.35434917505111
